Icon_ItemMisc_CanvasCloth|CanvasCloth
Icon_ItemMisc_jukebox|jukebox
Icon_ItemArmorHands_Unidentified_Hands_0002|Unidentified_Hands_0008
IconSprites:Icon_ItemDyes_UI_Item_Dye_Orange_Primary_Dull_000|UI_Item_Dye_Orange_Primary_Dull_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_BluePurple_Light2_Dull_000|UI_Item_Dye_BluePurple_Light2_Dull_000
Icon_ItemMisc_EMP_Rifle|Water_Rifle
IconSprites:Icon_ItemMisc_EMP_Grenade|EMP_Grenade
Icon_CraftingUI_Item_Crafting_Strength_Blue|UI_Item_Crafting_Strength_Blue
Icon_ItemMisc_Beacon_02|Beacon_02
Icon_ItemMisc_bag_0002|bag_0002
IconSprites:Icon_Pets_Icon_SkeechShaman|Icon_SkeechShaman
Icon_ItemMisc_Shelves|Shelves
Icon_ItemWeapon_Resonator_03|Resonator_03
IconSprites:Icon_CraftingUI_Item_Crafting_Spice_Shaker_RawSugar|UI_Item_Crafting_Spice_Shaker_RawSugar
Icon_Orb_Blue|Amp_Blue
IconSprites:Icon_ItemDyes_UI_Item_Dye_Yellow_Dark1_000|UI_Item_Dye_Yellow_Dark1_000
Icon_ItemMisc_Generic_rock_01|Generic_rock_01
Icon_ItemArmorHands_glove_0003|glove_0003
ClientSprites:Icon_ItemMisc_Feather|Split_leather
IconSprites:Icon_ItemDyes_UI_Item_Dye_Grey_Primary_000|UI_Item_Dye_Grey_Primary_000
Icon_ItemMisc_Windows_small|Windows_small
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowGreen_Light1_Dull_000|UI_Item_Dye_YellowGreen_Light1_Dull_000
IconSprites:Icon_ItemMisc_UI_Icon_Token_GeneticArchives_Legs|UI_Icon_Token_GeneticArchives_Legs
Icon_ItemMisc_UI_Item_Gears|UI_Item_Gears
Icon_ItemMisc_Generic_shell_02|Generic_seed_02
IconSprites:Icon_ItemDyes_UI_Item_Dye_Blue_Dark1_Dull_000|UI_Item_Dye_Blue_Dark1_Dull_000
Icon_ItemWeapon_Toxic_Gun|Eldan_Gun
Icon_ItemArmorLegs_pants_0001|pants_0001
Icon_ItemWeaponUnidentified_Weapon_0007|Unidentified_Trinket_0007
IconSprites:Icon_ItemDyes_UI_Item_Dye_Strain_Blue_000|UI_Item_Dye_Strain_Blue_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_Red_Light1_Dull_000|UI_Item_Dye_Red_Light1_Dull_000
Icon_ItemMisc_Claw_01|UI_Item_Claws_001
Icon_ItemArmor_Light_Armor_Boots_04|Light_Armor_Boots_04
IconSprites:Icon_ItemArmor_Ascendancy_Chest|Ascendancy_Chest
ClientSprites:Icon_ItemMisc_Fried_fish|Fried_fish
ClientSprites:Icon_ItemMisc_EnergizedHeavyWater|EnergizedHeavyWater
